time,PriceElectricPowerHighlyDynamic
0,2
3600,2
7200,2
10800,2
14400,2
18000,2
21600,2
25200,2
28800,2
32400,2
36000,2
39600,2
43200,2
46800,2
50400,2
54000,2
57600,2
61200,5
64800,5
68400,5
72000,5
75600,5
79200,2
82800,2
86400,2
90000,2
93600,2
97200,2
100800,2
104400,2
108000,2
111600,2
115200,2
118800,2
122400,2
126000,2
129600,2
133200,2
136800,2
140400,2
144000,2
147600,5
151200,5
154800,5
158400,5
162000,5
165600,2
169200,2
172800,2
176400,2
180000,2
183600,2
187200,2
190800,2
194400,2
198000,2
201600,2
205200,2
208800,2
212400,2
216000,2
219600,2
223200,2
226800,2
230400,2
234000,5
237600,5
241200,5
244800,5
248400,5
252000,2
255600,2
259200,2
262800,2
266400,2
270000,2
273600,2
277200,2
280800,2
284400,2
288000,2
291600,2
295200,2
298800,2
302400,2
306000,2
309600,2
313200,2
316800,2
320400,5
324000,5
327600,5
331200,5
334800,5
338400,2
342000,2
345600,2
349200,2
352800,2
356400,2
360000,2
363600,2
367200,2
370800,2
374400,2
378000,2
381600,2
385200,2
388800,2
392400,2
396000,2
399600,2
403200,2
406800,5
410400,5
414000,5
417600,5
421200,5
424800,2
428400,2
432000,2
435600,2
439200,2
442800,2
446400,2
450000,2
453600,2
457200,2
460800,2
464400,2
468000,2
471600,2
475200,2
478800,2
482400,2
486000,2
489600,2
493200,5
496800,5
500400,5
504000,5
507600,5
511200,2
514800,2
518400,2
522000,2
525600,2
529200,2
532800,2
536400,2
540000,2
543600,2
547200,2
550800,2
554400,2
558000,2
561600,2
565200,2
568800,2
572400,2
576000,2
579600,5
583200,5
586800,5
590400,5
594000,5
597600,2
601200,2
604800,2
608400,2
612000,2
615600,2
619200,2
622800,2
626400,2
630000,2
633600,2
637200,2
640800,2
644400,2
648000,2
651600,2
655200,2
658800,2
662400,2
666000,5
669600,5
673200,5
676800,5
680400,5
684000,2
687600,2
691200,2
694800,2
698400,2
702000,2
705600,2
709200,2
712800,2
716400,2
720000,2
723600,2
727200,2
730800,2
734400,2
738000,2
741600,2
745200,2
748800,2
752400,5
756000,5
759600,5
763200,5
766800,5
770400,2
774000,2
777600,2
781200,2
784800,2
788400,2
792000,2
795600,2
799200,2
802800,2
806400,2
810000,2
813600,2
817200,2
820800,2
824400,2
828000,2
831600,2
835200,2
838800,5
842400,5
846000,5
849600,5
853200,5
856800,2
860400,2
864000,2
867600,2
871200,2
874800,2
878400,2
882000,2
885600,2
889200,2
892800,2
896400,2
900000,2
903600,2
907200,2
910800,2
914400,2
918000,2
921600,2
925200,5
928800,5
932400,5
936000,5
939600,5
943200,2
946800,2
950400,2
954000,2
957600,2
961200,2
964800,2
968400,2
972000,2
975600,2
979200,2
982800,2
986400,2
990000,2
993600,2
997200,2
1000800,2
1004400,2
1008000,2
1011600,5
1015200,5
1018800,5
1022400,5
1026000,5
1029600,2
1033200,2
1036800,2
1040400,2
1044000,2
1047600,2
1051200,2
1054800,2
1058400,2
1062000,2
1065600,2
1069200,2
1072800,2
1076400,2
1080000,2
1083600,2
1087200,2
1090800,2
1094400,2
1098000,5
1101600,5
1105200,5
1108800,5
1112400,5
1116000,2
1119600,2
1123200,2
1126800,2
1130400,2
1134000,2
1137600,2
1141200,2
1144800,2
1148400,2
1152000,2
1155600,2
1159200,2
1162800,2
1166400,2
1170000,2
1173600,2
1177200,2
1180800,2
1184400,5
1188000,5
1191600,5
1195200,5
1198800,5
1202400,2
1206000,2
1209600,2
1213200,2
1216800,2
1220400,2
1224000,2
1227600,2
1231200,2
1234800,2
1238400,2
1242000,2
1245600,2
1249200,2
1252800,2
1256400,2
1260000,2
1263600,2
1267200,2
1270800,5
1274400,5
1278000,5
1281600,5
1285200,5
1288800,2
1292400,2
1296000,2
1299600,2
1303200,2
1306800,2
1310400,2
1314000,2
1317600,2
1321200,2
1324800,2
1328400,2
1332000,2
1335600,2
1339200,2
1342800,2
1346400,2
1350000,2
1353600,2
1357200,5
1360800,5
1364400,5
1368000,5
